Iteration;MP2_0315_Hole_256;Iteration;CF_dark_1;Iteration;Tile_Crack;Iteration;Cable_Missing;Iteration;Pul_Resin;Iteration;Severstal_Steel;
16;-0,00320422;	16;6,43126e-009;	16;-0,0208151;	16;0;	16;-0,0274695;	16;-0,0240721;
15;-0,0151211;	15;-0,00144414;	15;-0,0277131;	15;-0,000248795;	15;-0,0617119;	15;-0,00363526;
14;-0,00617338;	14;-0,000649612;	14;4,66107e-007;	14;1,46492e-007;	14;-0,0293132;	14;-0,00531294;
13;-0,0114915;	13;-0,00048574;	13;-0,0010977;	13;-0,0245708;	13;-0,0263534;	13;-8,39637e-005;
12;-0,0125352;	12;0;	12;-0,00441027;	12;4,65062e-007;	12;-0,0260263;	12;-0,0166029;
11;-0,00970099;	11;-1,53821e-005;	11;-0,00221587;	11;-0,0962449;	11;-0,00624368;	11;-0,0234935;
10;-0,0183305;	10;-0,000175969;	10;-0,0170258;	10;-0,00736215;	10;-0,0189606;	10;-0,00594538;
9;-0,0219379;	9;-0,00100097;	9;-0,00377985;	9;0;	9;-0,0517527;	9;-0,000231515;
8;-0,00426439;	8;0;	8;6,85085e-007;	8;-0,0284538;	8;-0,0110693;	8;-0,00129472;
7;-0,0139421;	7;-0,00192318;	7;-0,0177031;	7;0;	7;-0,0203426;	7;-0,00791743;
6;-0,0137501;	6;1,41959e-008;	6;-0,0198954;	6;5,89925e-006;	6;-0,00324971;	6;-0,010522;
5;-0,00363764;	5;9,21964e-009;	5;-0,00679784;	5;-0,0143092;	5;-0,00745546;	5;-0,0292834;
4;-0,011158;	4;4,00971e-009;	4;-0,000567722;	4;-0,00108475;	4;1,33947e-006;	4;-0,0429706;
3;-0,00451149;	3;0;	3;-0,00553887;	3;2,11875e-007;	3;4,63577e-006;	3;-0,00248275;
2;-0,0134498;	2;5e-009;	2;-0,0137291;	2;-0,0171938;	2;-0,00817954;	2;-0,0116182;
1;-0,00576651;	1;-4,97445e-005;	1;-0,000116926;	1;-0,000212926;	1;-0,00186075;	1;-0,00039018;
